id,Pick,Name,Pos,Team,Bye,Overall,Std. Dev,High,Low,Times Drafted
1,1.01,Antonio Brown,WR,PIT,8,1.4,0.7,1.01,1.05,463
2,1.03,Odell Beckham Jr,WR,NYG,11,2.9,1,1.01,1.06,486
3,1.03,Todd Gurley,RB,LA,8,2.9,1.5,1.01,1.1,314
4,1.04,Julio Jones,WR,ATL,11,3.8,1.3,1.01,1.08,624
5,1.05,Adrian Peterson,RB,MIN,6,5.3,1.9,1.01,2.01,562
6,1.06,David Johnson,RB,ARI,9,5.9,1.9,1.01,2.01,566
7,1.07,DeAndre Hopkins,WR,HOU,9,7.3,1.7,1.03,2.01,536
8,1.08,Ezekiel Elliott,RB,DAL,6,8.4,2.3,1.02,2.04,535
9,1.09,A.J. Green,WR,CIN,9,8.9,1.9,1.04,2.03,556
10,1.1,Lamar Miller,RB,HOU,9,10,2.4,1.02,2.06,556
11,1.11,LeVeon Bell,RB,PIT,8,10.7,3,1.02,2.07,564
12,1.12,Rob Gronkowski,TE,NE,9,11.6,2.9,1.01,2.07,552
13,1.12,Dez Bryant,WR,DAL,6,12.3,2.5,1.04,2.08,621
14,2.02,Allen Robinson,WR,JAC,5,14.2,2.7,1.03,2.11,572
15,2.03,Jamaal Charles,RB,KC,9,14.7,2.6,1.04,2.1,575
16,2.04,Brandon Marshall,WR,NYJ,11,15.9,2.8,1.07,2.11,541
17,2.05,Jordy Nelson,WR,GB,4,17.2,2.5,1.07,3.04,567
18,2.06,Devonta Freeman,RB,ATL,11,17.7,3.4,1.08,4.02,500
19,2.07,Eddie Lacy,RB,GB,4,18.9,3.3,1.09,3.08,487
20,2.08,LeSean McCoy,RB,BUF,10,20.4,3.2,1.1,3.07,484
21,2.09,Mike Evans,WR,TB,6,20.8,3.4,1.1,3.09,554
22,2.09,Keenan Allen,WR,SD,10,21.2,3.4,1.12,3.07,478
23,2.1,Amari Cooper,WR,OAK,6,22.2,3.5,1.12,3.08,546
24,2.12,Doug Martin,RB,TB,6,23.5,3.6,2.01,3.12,525
25,3.01,Alshon Jeffery,WR,CHI,7,24.8,3.8,1.11,4.03,473
26,3.01,Mark Ingram,RB,NO,5,25.4,3.6,2.02,3.12,533
27,3.03,Brandin Cooks,WR,NO,5,27.4,3.5,1.12,4.01,520
28,3.04,Thomas Rawls,RB,SEA,9,27.5,4.3,2.01,4.05,509
29,3.06,Cam Newton,QB,CAR,7,29.5,6.6,1.01,4.1,389
30,3.06,T.Y. Hilton,WR,IND,10,29.9,3.4,2.06,4.08,504
31,3.06,Kelvin Benjamin,WR,CAR,7,30.2,3.9,2.04,4.07,471
32,3.08,Demaryius Thomas,WR,DEN,11,31.8,4,2.02,4.08,532
33,3.08,Sammy Watkins,WR,BUF,10,32.2,3.8,2.01,4.08,600
34,3.09,Aaron Rodgers,QB,GB,4,32.9,7.1,1.05,5.02,417
35,3.09,CJ Anderson,RB,DEN,11,33.3,4.5,2.07,4.12,514
36,3.11,Matt Forte,RB,NYJ,11,35,4.9,2.06,4.11,480
37,3.12,Latavius Murray,RB,OAK,6,36,4.4,2.1,4.12,552
38,4.01,Randall Cobb,WR,GB,4,36.9,4.2,2.09,5.03,599
39,4.02,Jarvis Landry,WR,MIA,8,38.2,4.9,2.09,5.08,527
40,4.03,Carlos Hyde,RB,SF,8,38.8,4.5,2.09,5.01,549
41,4.05,DeMarco Murray,RB,TEN,13,41.3,4.4,3.01,5.09,423
42,4.06,Jordan Reed,TE,WAS,8,41.8,5.6,2.05,5.09,334
43,4.06,Julian Edelman,WR,NE,9,42,5,2.12,5.12,427
44,4.08,Golden Tate,WR,DET,10,44.2,5,3.05,6.03,404
45,4.09,Dion Lewis,RB,NE,9,45.4,5,3.05,5.11,372
46,4.1,Doug Baldwin,WR,SEA,9,46.2,5.8,2.11,6.01,400
47,4.11,Jeremy Langford,RB,CHI,7,47,6.5,2.11,6.08,356
48,4.11,Jeremy Maclin,WR,KC,9,47.1,5.3,3.08,6.1,429
49,4.11,Jeremy Hill,RB,CIN,9,47.4,6.3,2.11,6.04,481
50,4.12,Andrew Luck,QB,IND,10,47.6,7.4,2.04,6.09,345
51,5.01,Greg Olsen,TE,CAR,7,49.5,6,3.01,6.06,359
52,5.02,Matt Jones,RB,WAS,8,49.9,5.7,3.01,6.08,426
53,5.04,Michael Floyd,WR,ARI,9,51.9,6.6,3.06,6.11,461
54,5.04,Arian Foster,RB,MIA,8,52.4,6.2,2.12,6.12,501
